name,stars,review,type,lng,lat
Food Palace,4.5,14,"$$ - $$$, Indian, Asian, Pakistani",41.705227,44.800835
WHEELS Irish Pub,4.5,13,"$$ - $$$, International",41.706299,44.789253
Wine Hall,4.5,13,"$, Georgian",41.698856,44.796520
Ambavi,4.5,12,"$, Brew Pub, Bar, Cafe",41.691532,44.801235
Cafe Salon 25th Frame,4.5,12,$$ - $$$,41.705746,44.789928
Pizzeria Alessandro,4.5,12,"$, Italian, Pizza",41.692032,44.798229
Khokhobi,4.5,12,"$$ - $$$, European, Georgian, Cafe",41.689415,44.810883
Keria,4.5,12,$$ - $$$,41.767826,44.780357
MashaAllah Restaurant,4.5,11,"$$ - $$$, Indian, Pakistani, Halal",41.692780,44.805656
REstaurant Tishebi,4.5,10,"$, Eastern European",41.693222,44.803604
"Shemoikhede Genatsvale ""Freedom Square""",4.5,10,"$$ - $$$, Georgian",41.693890,44.802242
Public Bakery,4.5,10,$$ - $$$,41.704987,44.786617
McDonald's,4.5,9,null,41.709389,44.796944
Prego,4.5,9,"$, Italian, Pizza",41.707069,44.776638
Supra Restaurant,4.5,9,"$$ - $$$, Turkish, Arabic",41.713074,44.794567
Intelligentsia,4.5,9,"$, Wine Bar, Caucasian, Georgian",41.701164,44.753761
Radio Bar,4.5,9,"$, Georgian",41.688923,44.810017
Shushabandi,4.5,9,"$$ - $$$, Georgian",41.708565,44.780167
Bernard Abashidze St.,4.5,8,$$ - $$$,41.707867,44.766308
Krombacher,4.5,8,"$$ - $$$, German",41.779446,44.769379
Sushiroom Kavtaradze,4.5,7,"$$ - $$$, Japanese, Sushi, Asian",41.723515,44.738274
Babustan,4.5,7,"$$ - $$$, European, Georgian",41.730606,44.761810
Cafe Velo,4.5,7,"$$ - $$$, French, European",41.704391,44.802116
Wagon BAR,4.5,7,"$$ - $$$, European, Italian, American",41.709389,44.774929
Royal Wine,4.5,7,"$$ - $$$, Wine Bar",41.690018,44.796219
Green Chilli Restaurant,4.5,7,"$, Indian, Chinese",41.770493,44.770027
Jonjoli,4.5,7,Italian,41.690426,44.809071
Decanter Wine & Shop,4.5,7,"$$ - $$$, Bar, Wine Bar",41.700485,44.795437
Le Ponchik,4.5,6,$,41.707581,44.766159
Mendi's  Restaurant,4.5,6,"$$ - $$$, Grill, Israeli, Georgian",41.691025,44.808327
Tbilisi Yacht Club - Restaurant La Cote,4.5,6,"$$ - $$$, European, Central European, Georgian",41.736668,44.854996
Pomegranate,4.5,5,"$$ - $$$, European, Georgian",41.708328,44.752865
Shawarmaster,4.5,5,"$, Fast Food, Vegan Options",41.729767,44.783867
Mr.Cook,4.5,5,$,41.697765,44.796867
Mzesumzira's Cafe,4.5,4,$,41.695644,44.783482
Albaik Algeorgi,4.5,4,"$, American, Georgian, Arabic",41.706844,44.785576
Is Cafe,4.5,4,"$$ - $$$, Mediterranean, Turkish, Georgian",41.688202,44.810539
Poor Richard's Bar,4.5,4,"$$ - $$$, Italian, French, Steakhouse",41.706364,44.789486
Delivac,4.5,4,"$, European, Asian, Grill",41.722775,44.780506
Number 8,4.5,4,"$, European, Eastern European",41.690987,44.808361
Aga's Soul Kitchen,4.5,3,"American, Barbecue, Grill",41.804638,44.780132
Cecilia City Cafe,4.5,3,"$$ - $$$, Georgian",41.709435,44.741966
Black Crow Bar,4.5,3,"$, European",41.694683,44.793934
Pelagoni  Restaurant,4.5,3,"$$ - $$$, European, Georgian",41.766914,44.788868
Cafe Fragola,4.5,3,"$$ - $$$, European, Italian, Asian",41.726177,44.767353
India Palace Restaurant,4.5,3,"$, Indian",41.689953,44.808548
Chilli Pepper,4.5,3,"$$ - $$$, European, Georgian, Arabic",41.704567,44.801640
Gallery,4.5,3,"$$ - $$$, European, Georgian",41.693363,44.797855
Yemeni Restaurant,4.5,3,Arabic,41.711464,44.795471
2Wine,4.5,2,"$$ - $$$, European, Wine Bar, Georgian",41.708424,44.780495
Burger Club,4.5,2,"$, American, European, Fast Food",41.720161,44.777683
Pita Hut,4.5,2,"$, Fast Food, Mediterranean, Greek",41.693401,44.800648
MEMO Coffee,4.5,2,"$, American, European",41.708344,44.760155
Funicular Restaurant Complex,4.0,1672,"$$ - $$$, Georgian, Vegetarian Friendly, Vegan Options",41.694992,44.786808
Samikitno,4.0,1064,"$, Eastern European, Vegetarian Friendly, Vegan Options",41.689899,44.809071
Tsiskvili Group,4.0,1002,"$$ - $$$, European, Georgian, Vegetarian Friendly",41.771252,44.779778
Maspindzelo,4.0,853,"$$ - $$$, Eastern European, Georgian, Vegetarian Friendly",41.688782,44.812889
Pasanauri,4.0,615,"$$ - $$$, Georgian, Vegetarian Friendly",41.702690,44.792080
Purpur,4.0,593,"$$ - $$$, European, Central European, Fusion",41.691071,44.803925
In The Shadow Of Metekhi,4.0,588,"$$ - $$$, Eastern European, Vegetarian Friendly, Vegan Options",41.688503,44.821144
Bread House Georgian Restaurant,4.0,566,"$$ - $$$, Eastern European, Georgian, Vegetarian Friendly",41.688808,44.812271
Racha Dukhan,4.0,458,"$, Georgian, Vegetarian Friendly",41.691231,44.802223
Dinehall,4.0,408,"$$$$, Georgian, Vegetarian Friendly, Vegan Options",41.700981,44.795410
Keto and Kote,4.0,372,"$$ - $$$, Eastern European, Vegetarian Friendly, Vegan Options",41.704929,44.788601
Cafe Restaurant Kala,4.0,371,"$$ - $$$, European, Bar, Cafe",41.692204,44.806740
Khinkali House Iveroni,4.0,347,"$, Bar, Barbecue, European",41.703175,44.791870
Taglaura,4.0,331,"$$ - $$$, Eastern European, Vegetarian Friendly, Vegan Options",41.723724,44.780857
Pirosmani,4.0,322,"$, European, Georgian, Barbecue",41.693233,44.803112
Lagidze Water,4.0,310,"$, Cafe, Fast Food, Vegan Options",41.697792,44.814354
Hard Rock Cafe,4.0,297,"$$ - $$$, Steakhouse, American, Cafe",41.708504,44.780422
Lolita,4.0,292,"$$ - $$$, Bar, European, Vegetarian Friendly",41.705750,44.787022
Sakhachapure N1,4.0,250,"$$ - $$$, Eastern European, Georgian, Vegetarian Friendly",41.696613,44.799828
Pastorali,4.0,239,"$$ - $$$, Eastern European, Vegetarian Friendly, Vegan Options",41.692509,44.806793
Chashnagiri,4.0,237,"$$ - $$$, Seafood, Fast Food, Eastern European",41.738701,44.772648
Shkhara,4.0,219,"$, Eastern European, Vegetarian Friendly, Vegan Options",41.701965,44.794189
Restaurant Kopala,4.0,208,"$$ - $$$, European, Vegetarian Friendly",41.690826,44.812309
Tabla Saloon,4.0,207,"$$ - $$$, Eastern European, Georgian, Vegetarian Friendly",41.710171,44.764423
Ezo,4.0,205,"$$ - $$$, Eastern European, Georgian, Vegan Options",41.689835,44.798828
Restaurant Gorgasali,4.0,191,"$$ - $$$, European, Georgian, Vegetarian Friendly",41.687622,44.810875
Marco Polo,4.0,178,"$$ - $$$, Bar, Cafe, European",41.702888,44.793015
The Hangar,4.0,155,"$$ - $$$, Bar, European, British",41.695679,44.806522
Phaetoni,4.0,153,"$$ - $$$, Vegetarian Friendly",41.773228,44.780464
Taj Mahal Restaurant,4.0,153,"$$ - $$$, Indian, Asian, Pakistani",41.689671,44.808064
Vino Underground,4.0,152,"$$ - $$$, Wine Bar",41.690971,44.801380
Cafe Stamba,4.0,151,"$, International, Fusion, Georgian",41.705547,44.788170
Marani Restaurant & Bar,4.0,149,"$$ - $$$, Seafood, European, Asian",41.688129,44.811516
Tifliso,4.0,148,"$$ - $$$, Eastern European, European, Vegetarian Friendly",41.690277,44.808781
Baan Thai cuisine,4.0,147,"$$ - $$$, Asian, Thai, Vegetarian Friendly",41.702450,44.795868
Tiflis Veranda Restaurant,4.0,144,"$$ - $$$, International, European, Vegetarian Friendly",41.688488,44.811428
Jazz Cafe Singer,4.0,142,"$$ - $$$, Bar, European, Eastern European",41.690742,44.807598
Tartine Brasserie,4.0,136,"$$ - $$$, French, Cafe, European",41.689495,44.809200
Sofia Melnikova's Fantastic Douqan,4.0,130,"$$ - $$$, European, Eastern European, Vegetarian Friendly",41.699722,44.799000
Old Metekhi Restaurant,4.0,127,"$$ - $$$, European, International, Vegetarian Friendly",41.689926,44.812778
Restaurant Georgian,4.0,126,"$$ - $$$, Georgian, Vegetarian Friendly, Vegan Options",41.690514,44.806923
Shemoikhede Genatsvale,4.0,125,"$$ - $$$, Georgian, Vegetarian Friendly, Vegan Options",41.707817,44.793785
Cafe Linville,4.0,123,"$$ - $$$, Cafe, Eastern European, Central European",41.693184,44.803162
Khinkali House in Avlabari,4.0,120,"$$ - $$$, Cafe, Greek, Russian",41.693718,44.814804
Moulin Electrique,4.0,118,"$$ - $$$, Bar, Cafe, European",41.692631,44.806435
11 Katkha Konka,4.0,116,"$$ - $$$, Vegetarian Friendly, Vegan Options",41.696548,44.805061
Sanjha Chulha,4.0,116,"$$ - $$$, Indian, Asian, Vegetarian Friendly",41.713131,44.794693
Bloom Cafe,4.0,114,"$$ - $$$, European, Eastern European, Vegetarian Friendly",41.692543,44.806767
Entree Artisan Bakery,4.0,111,"$$ - $$$, French, Georgian, Cafe",41.690468,44.807514
Cafe Accent,4.0,111,"$$ - $$$, Cafe, Georgian, European",41.689503,44.808685
Stella Artois beer restaurant,4.0,98,"$$ - $$$, Eastern European, Bar",41.690578,44.809246
Tiflis Meidani,4.0,94,"$$ - $$$, Georgian, Wine Bar, Vegetarian Friendly",41.690399,44.809238
144 Stairs Cafe,4.0,94,"$$ - $$$, Bar, Cafe, European",41.688526,44.807514
Buddha-Bar Tbilisi,4.0,93,"$$ - $$$, Asian, Mediterranean, Sushi",41.692707,44.808701
Zazanova,4.0,89,"$$ - $$$, European, Bar, Vegetarian Friendly",41.701550,44.795837
Bernard,4.0,89,"$$ - $$$, Brew Pub, Bar, Vegetarian Friendly",41.730568,44.769764
Pasanauri Leonidze,4.0,85,"$$ - $$$, Georgian, Vegetarian Friendly",41.692413,44.798950
Strada,4.0,85,"$$ - $$$, Pizza, European, American",41.708153,44.794472
Corner by the river,4.0,76,"$$ - $$$, Cafe, International, European",41.701389,44.804123
Amo Rame Art Cafe,4.0,73,"$$ - $$$, European, Vegetarian Friendly, Vegan Options",41.692627,44.798286
Retro Cafe,4.0,72,"$$ - $$$, European, Bar, Cafe",41.690258,44.808964
Batoni,4.0,68,"$$ - $$$, European, Wine Bar, Georgian",41.692513,44.806671
Warsteiner Bier Restaurant,4.0,64,"$$ - $$$, German, Barbecue, European",41.721943,44.768818
Bar Warszawa,4.0,62,"$, Bar, Pub",41.694923,44.802197
Legvi Cafe,4.0,61,"$$ - $$$, Georgian, Cafe, Vegetarian Friendly",41.687031,44.809254
Wine Garden,4.0,57,"$$ - $$$, European, Georgian, Eastern European",41.708370,44.799324
Taste Of India,4.0,55,"$$ - $$$, Indian, Asian, Vegetarian Friendly",41.730831,44.764938
Citadel Narikala,4.0,55,"$$ - $$$, Georgian, European, Vegetarian Friendly",41.688686,44.809189
Narikala Hill,4.0,54,"$$ - $$$, Georgian, European",41.688667,44.809509
Tuk Tuk,4.0,53,"$, Asian, Thai, Vegetarian Friendly",41.691448,44.799850
METIS - Cafe Bar Restaurant,4.0,53,"$$ - $$$, French, Fusion, Georgian",41.694897,44.806534
Folk Garden,4.0,53,"$$ - $$$, European, Vegetarian Friendly, Vegan Options",41.707317,44.798672
Parnas Cafe Lounge & Restaurant Marriott Hotel,4.0,52,"$$ - $$$, French, Cafe, Pub",41.698963,44.798241
Dzveli Metekhi,4.0,50,"$$ - $$$, European",41.688568,44.821117
Amira Restaurant,4.0,47,"$$ - $$$, Lebanese, Mediterranean, Middle Eastern",41.710716,44.754936
Burger Bar,4.0,42,"$$ - $$$, American, Bar",41.708176,44.769730
Begheli,4.0,41,"$$ - $$$, Barbecue, Vegetarian Friendly",41.714298,44.745438
Cafe Modi,4.0,38,"$$ - $$$, Eastern European, Georgian",41.703621,44.802879
Wendy's,4.0,37,"$, Fast Food",41.717499,44.777500
PIPES burger joint,4.0,36,"$$ - $$$, American, Vegetarian Friendly",41.706223,44.789158
Terrace,4.0,36,"$$ - $$$, Mediterranean, European, Vegetarian Friendly",41.740417,44.778774
Cafe AnatoliA,4.0,35,"$, European, Turkish, Caucasian",41.700680,44.795757
Bollywood Masala Indian Restaurant,4.0,35,"$$ - $$$, Indian, Asian, Vegetarian Friendly",41.688293,44.816982
Terrace N21,4.0,31,"$$ - $$$, Georgian",41.688755,44.810345
Stella Artois Restaurant,4.0,29,"$$ - $$$, European, Grill, Healthy",41.692387,44.801090
Shemoikhede Genatsvale,4.0,29,"$$ - $$$, Pub",41.731441,44.767597
restaurant steakhouse#1,4.0,27,"$$ - $$$, Steakhouse, International, European",41.707874,44.764164
Oxygen Bar,4.0,25,"$$ - $$$, International, Bar, Pub",41.703842,44.793331
Keep Calm Tbilisi Bar,4.0,24,"$$ - $$$, European, Georgian, Vegetarian Friendly",41.691471,44.802040
Klike's Khinkali,4.0,22,"$, Georgian",41.695381,44.795822
Silvio D'italia Tbilisi,4.0,22,"$$ - $$$, Italian, French, European",41.694759,44.800335
Pushkin 10,4.0,22,"$$ - $$$, Pizza, Italian, Cafe",41.696060,44.802849
Chops By The River,4.0,22,"$$ - $$$, Steakhouse, Seafood, Sushi",41.681297,44.692913
Pizzeria Localino,4.0,21,"$$ - $$$, Italian, Pizza, Vegetarian Friendly",41.708057,44.775089
Hacker-Pschorr,4.0,21,"$$ - $$$, Grill, Bar, European",41.712929,44.749187
Ilouri Restaurant,4.0,20,"$$ - $$$, Georgian, Vegetarian Friendly",41.679993,44.870049
Czech Beer House,4.0,20,"$$ - $$$, Brew Pub, Barbecue, Pub",41.726284,44.753925
Red Cafe,4.0,19,"$$ - $$$, Cafe, European, Vegetarian Friendly",41.692562,44.800678
mandarini,4.0,18,"$$ - $$$, Cafe, European, Vegetarian Friendly",41.726944,44.773235
INNOVA Cafe&More,4.0,18,"$$ - $$$, Italian, Cafe, European",41.711189,44.753407
Tbilisi Hilltop,4.0,17,"$$ - $$$, Street Food, Georgian, European",41.688736,44.807415
Dzveli Qalaqi,4.0,17,"$$ - $$$, European, Georgian, Eastern European",41.754086,44.778084
Buffalo Bills,4.0,16,"$$ - $$$, Bar, Pub, American",41.706257,44.789364
Taglaura,4.0,16,"$, French, Vegetarian Friendly",41.676716,44.834805
Taj Mahal Restaurant,4.0,16,"$$ - $$$, Indian, Pakistani",41.693256,44.804180
Casapa Bar,4.0,16,$$ - $$$,41.690277,44.808643
Chacha Room,4.0,16,"$, Georgian, American, European",41.696041,44.802475
Tabidze 1 Coffee and Dining,4.0,15,"$$ - $$$, European, Georgian, Cafe",41.692719,44.800983
Chemo Kargo,4.0,15,"$$ - $$$, Georgian, Pizza, Vegetarian Friendly",41.735638,44.796055
Babilo Music Hall,4.0,14,"$$$$, European, Vegetarian Friendly",41.761528,44.779968
Ci Gusta!,4.0,14,"$$ - $$$, Cafe, Italian, Vegetarian Friendly",41.709423,44.774914
ACID Bar,4.0,14,"$$ - $$$, European, Bar, Pub",41.692383,44.798874
Restaurant & PUB Avalon,4.0,14,"$$ - $$$, European, Georgian",41.752148,44.774868
Tashre,4.0,13,"$$ - $$$, Georgian",41.775227,44.780712
Tutarchela,4.0,13,"$$ - $$$, Georgian",41.709133,44.753193
Pad Thai,4.0,13,"$, Asian, Thai",41.704590,44.801228
Cafe 38,4.0,13,"$, European, Caucasian",41.689297,44.807858
Wasabi,4.0,13,"$$ - $$$, Japanese, Asian, Sushi",41.708244,44.758717
Restaurant Tbilisuri,4.0,12,"$$ - $$$, Georgian",41.687698,44.833576
Helium Resto Bar and Sushi Lounge,4.0,10,"$, European, Georgian, Sushi",41.761658,44.774136
Just Tiflisi Restaurant,4.0,10,"$$ - $$$, Persian, Georgian",41.698780,44.805328
Laguna Cafe,4.0,9,"$$ - $$$, Georgian",41.721310,44.764900
Black Lion Hub,4.0,9,"$$ - $$$, Georgian",41.726208,44.763725
Tivi,4.0,8,"$$ - $$$, Bar, Pub, Wine Bar",41.691830,44.809254
Mtsvadiauri,4.0,7,"$$ - $$$, Georgian",41.770382,44.779484
Csaba's Jazz-Rock Cafe,4.0,6,null,41.706112,44.788876
Traveler's Bar,4.0,6,"$, Bar, Pub",41.693039,44.799080
cabinet bar,4.0,5,"$, Pizza, Diner, Soups",41.701561,44.795918
Fruit Factory,4.0,5,"$$ - $$$, American",41.704800,44.801197
MV Lounge,4.0,5,"$$ - $$$, European, Georgian",41.690269,44.808926
Royal Food,4.0,5,"$, Indian, Georgian, Arabic",41.687328,44.825527
Wendy's,4.0,4,Fast Food,41.717499,44.777500
Soulmate Coffee Cafe & Bakery,4.0,4,$,41.725872,44.751202
Paemani Veraze/Date on Vera,4.0,4,"$$ - $$$, European, Georgian",41.708431,44.777023
Chaikhana,4.0,4,"$$ - $$$, Eastern European, Uzbek, Georgian",41.705933,44.787228
China Wok,4.0,4,"$, Chinese, Asian, Healthy",41.694405,44.799793
Restaurant  Magaro,4.0,4,Georgian,41.687344,44.877541
Accent Bar,4.0,4,"$, European",41.696213,44.804672
Restaurant Gemriela,4.0,3,"$$$$, Georgian",41.693199,44.815186
KFC,4.0,3,"$, American",41.694233,44.800220
Pizzeria Piccolo,4.0,2,null,41.705132,44.791534
Il Caffe Ambrosiano,4.0,2,"$$ - $$$, Italian",41.770638,44.774666
Nitro The Pub And Family Lounge,4.0,1,"$$ - $$$, Chinese, Indian, European",41.731014,44.764271
WineLab,4.0,1,Wine Bar,41.692177,44.802265
Berliner,4.0,1,"$$ - $$$, German, European, Eastern European",41.701977,44.797886
Family Food Restaurant,4.0,1,"$$ - $$$, Chinese, Indian, Georgian",41.687088,44.841621
Machakhela,3.5,584,"$, Eastern European, Vegetarian Friendly, Vegan Options",41.689880,44.809025
Zakhar Zakharich,3.5,531,"$$ - $$$, Eastern European, Vegetarian Friendly",41.700375,44.802940
Samikitno-Machakhela on Freedom Square,3.5,362,"$$ - $$$, Eastern European, Vegetarian Friendly",41.693703,44.801952
Machakhela,3.5,348,"$, Vegetarian Friendly, Vegan Options",41.710426,44.796707
Khinkali House,3.5,337,"$, Georgian, International, Vegetarian Friendly",41.703770,44.790821
Veliaminov,3.5,326,"$, Vegetarian Friendly",41.692467,44.801975
Restorani Alani,3.5,276,"$, Bar, Eastern European, Vegetarian Friendly",41.689850,44.809296
Cafe Flowers,3.5,170,"$$ - $$$, Cafe, European, Eastern European",41.692783,44.811462
Friends House  Bar & Restaurant,3.5,165,"$$ - $$$, European, Eastern European, Bar",41.692253,44.806782
Seidabadi,3.5,136,"$$ - $$$, Armenian, Georgian, Azerbaijani",41.689949,44.809372
Bernard Tabidze St.,3.5,129,"$$ - $$$, Georgian, Vegetarian Friendly, Vegan Options",41.692120,44.801289
Paul Bakery,3.5,120,"$$ - $$$, French, Cafe, European",41.692547,44.801189
Kgb,3.5,115,"$$ - $$$, Bar, European, Eastern European",41.692204,44.806728
Maharajah Restaurant,3.5,106,"$$ - $$$, Middle Eastern, Indian, Arabic",41.707054,44.788582
Cafe Art-Mone,3.5,94,"$$ - $$$, European, Vegetarian Friendly",41.689842,44.808796
Art Cafe Tiflis Brunch,3.5,85,"$$ - $$$, European, Georgian, Vegetarian Friendly",41.693058,44.802540
Hofbrauhaus,3.5,72,"$$ - $$$, Barbecue, European, German",41.726410,44.756687
Pomodorissimo,3.5,63,"$$ - $$$, Italian, Pizza, European",41.710224,44.763882
Benjamen Restaurant,3.5,58,"$, Grill, Georgian, Caucasian",41.690083,44.813152
Ankara,3.5,55,"$$ - $$$, Turkish, Middle Eastern, Halal",41.712997,44.794907
Spice Garden Restaurant,3.5,54,"$$ - $$$, Middle Eastern, Indian, Arabic",41.713802,44.794407
Taj Mahal Restaurant,3.5,54,"$$ - $$$, Indian, Barbecue, Asian",41.693333,44.803890
Aqua Pub,3.5,50,"$$ - $$$, Bar, Pub, Middle Eastern",41.693497,44.804321
Downtown Tbilisi,3.5,45,"$$ - $$$, Italian, Asian, Georgian",41.708244,44.794319
Pizza di Roma Tbilisi,3.5,44,"$$ - $$$, Italian, Pizza, Georgian",41.716400,44.792622
Ortachala Restaurant,3.5,42,"$$ - $$$, Vegetarian Friendly",41.682148,44.826641
Xeme Bar,3.5,41,"$$ - $$$, International, Japanese, European",41.702442,44.794685
Gruzbek - uzbek restaurant,3.5,41,"$$ - $$$, Asian",41.693668,44.807167
Samikitno,3.5,36,$$ - $$$,41.690441,44.808517
Samikitno,3.5,33,"$$ - $$$, Vegetarian Friendly",41.689857,44.809189
Spice Lounge Restaurant,3.5,33,"$$ - $$$, Indian, Arabic, Asian",41.702026,44.793736
Sher E Punjab,3.5,32,"$$ - $$$, Indian, Vegetarian Friendly, Vegan Options",41.705517,44.790295
Vazi,3.5,27,"$$ - $$$, Eastern European, Russian",41.696644,44.804901
Sake Sushi Bar,3.5,24,"$$ - $$$, Japanese, Sushi, Asian",41.699196,44.797401
Samikitno Georgian Cuisine,3.5,21,"$$ - $$$, Georgian",41.693745,44.802372
Restaurant Tiflis86,3.5,21,$$ - $$$,41.693729,44.805843
Restaurant ''ASTORIA'',3.5,19,"$$ - $$$, International, Vegetarian Friendly",41.676453,44.838928
Chaikhana Bazar - Chillout Cafe Tbilisi,3.5,18,"$$ - $$$, Turkish, Eastern European, Armenian",41.695000,44.799862
Pasanuri,3.5,18,"$$ - $$$, European, Grill, Diner",41.689690,44.810059
Restaurant Erdinger,3.5,16,$$ - $$$,41.721539,44.764645
Cafe Theatre,3.5,15,"$$ - $$$, European, Georgian",41.689327,44.809296
Art Hotel & Lounge Claude Monet,3.5,14,"$$ - $$$, Central Asian, Caucasian, European",41.722630,44.770069
New Asia,3.5,14,"$$ - $$$, Chinese",41.721882,44.770420
Weihenstephan Restaurant,3.5,13,"$$ - $$$, Dutch, Cafe, Central European",41.725498,44.753807
Pub Talaveri,3.5,12,"$$ - $$$, Georgian",41.690693,44.813774
Mais Bar & Restaurant,3.5,12,"$, European, Georgian",41.708954,44.777584
PiNzeria by Bontempi,3.5,11,"$$ - $$$, Italian, Georgian, European",41.708660,44.780773
Travel Bar,3.5,11,"$, Eastern European, Caucasian, Georgian",41.704411,44.801975
Restaurant Ambassadori,3.5,10,$$ - $$$,41.696053,44.806664
Four Seasons,3.5,9,Cafe,41.724152,44.769966
Mozaiko,3.5,8,"$$$$, Japanese, European, Asian",41.696114,44.806725
Guinness Pub & Restaurant,3.5,8,"$$ - $$$, Italian, Georgian, European",41.708099,44.786163
Art House Tbilisi C,3.5,7,"$$ - $$$, European, Georgian",41.693233,44.810326
L.T.D Galleria Italiana,3.5,6,"$$ - $$$, Italian, European, Spanish",41.708160,44.794453
Terrassa Geo,3.5,6,"$$ - $$$, European, Georgian",41.692345,44.800995
Sicilia,3.5,4,null,41.704647,44.801472
Peaky Blinders,3.5,4,"Bar, Pub",41.690590,44.807777
Beer Factory - Chemo Kargo,3.5,4,"Pizza, European, Pub, Georgian",41.759487,44.780411
Foodrockers,3.5,3,"$, Brew Pub, Cafe, Pub",41.690983,44.806229
Sushi Holic,3.5,3,Sushi,41.778500,44.736107
Restaurant Tiflis,3.5,3,$$ - $$$,41.730808,44.763634
San Marco,3.5,2,"$$ - $$$, Italian",41.708549,44.768684
Stelzen Haus,3.0,269,"$$ - $$$, German, European, Bar",41.691959,44.806797
Assa Hall,3.0,126,$$ - $$$,41.690258,44.809345
Cafe Canape,3.0,93,"$$ - $$$, European, Cafe, Vegetarian Friendly",41.688515,44.810581
People's Cafe & Restaurant,3.0,81,"$$ - $$$, Cafe, Central European, Bar",41.691750,44.801342
BCN Hispania,3.0,81,"$$ - $$$, European, Spanish",41.689743,44.809151
Prego,3.0,73,"$$ - $$$, Italian, European, Pizza",41.708347,44.793663
The Famous Tbilisi Cafe,3.0,51,"$$ - $$$, Caucasian, Georgian, Vegetarian Friendly",41.689224,44.807186
Dunkin' Donuts,3.0,49,"$, American, Georgian, Cafe",41.709198,44.769924
Gas Cafe - Restaurant,3.0,46,"$$ - $$$, Grill, American, Bar",41.709126,44.797466
Keti's Bistro,3.0,38,"$$ - $$$, European",41.705811,44.787102
Terrace 360 Tbilisi,3.0,30,$$ - $$$,41.690193,44.808792
La-La Land Bar & Restaurant,3.0,30,$,41.690212,44.813297
Old Keria Restaurant,3.0,26,"$$ - $$$, Georgian",41.691330,44.802139
1001 Nights Restaurant,3.0,14,"$$ - $$$, Persian, Middle Eastern, Georgian",41.693108,44.802902
Dublin Pub Tbilisi,3.0,13,"$$ - $$$, European, Bar, Pub",41.705276,44.790432
Dunkin' Donuts,3.0,13,"$, Cafe",41.693748,44.801628
Shio Ramen,3.0,12,"$$ - $$$, Asian",41.709415,44.802834
Kero Restaurant,3.0,12,"$$ - $$$, European, Caucasian, Georgian",41.690262,44.806107
De Paris,3.0,9,"$$ - $$$, French",41.690300,44.808849
Illy Caffe,3.0,9,null,41.694569,44.800308
Karaoke Vinyl Tbilisi,3.0,6,"$$$$, European, Central European, Georgian",41.690544,44.809105
Tiflis at Napareuli,3.0,4,"$$ - $$$, European, Georgian",41.708477,44.777050
Coffeesta,3.0,3,"American, Cafe, European, Healthy",41.694725,44.800144
Kumo,3.0,2,"$$ - $$$, Japanese, Bar, Sushi",41.707779,44.764874
Caffe-Restaurant Lautrec,3.0,1,"$$ - $$$, European, Georgian",41.707241,44.783916
Chargali Restaurant,3.0,1,European,41.773712,44.803631
Ananuri,2.5,40,"$$ - $$$, Georgian",41.702011,44.794151
Prego,2.5,24,"$, Italian, Pizza",41.692425,44.806644
Blackberry Restaurant,2.5,23,$$ - $$$,41.690308,44.808720
Restaurant Kidobani,2.5,23,"$$ - $$$, European, Georgian",41.715900,44.793056
Bangkok,2.5,3,"$, Japanese, Sushi, Asian",41.724216,44.759487
Halalinn Restaurant,2.5,3,Halal,41.691078,44.816891
Metekhi,1.5,46,"$$ - $$$, Georgian, European",41.689877,44.809361
BlackBull Pub,1.0,3,"$, Italian, Mexican, Japanese",41.704769,44.801575
PilPili,1.0,2,"$$ - $$$, Georgian",41.711990,44.750492
Sushi Hut,0,0,$,41.694576,44.800259
Tamashobana,0,0,"$, European, Georgian",41.705780,44.789978
Karam Lebnen,0,0,"$, Lebanese, Mediterranean",41.698647,44.796818
Fortune Palace,0,0,$$ - $$$,41.772106,44.768135
TUTA Fruit Bar,0,0,"$, Cafe, International",41.722710,44.720146
Shtabi 16,0,0,"$, Bar, Pub",41.703491,44.802711
Arkashi Cafe,0,0,null,41.704685,44.801205
Saero - Wine Cellar,0,0,"$$ - $$$, Wine Bar, Georgian",41.711967,44.795837
AviatO2r Oxygen Bar,0,0,"$, European",41.708057,44.763405
Agmashenebelis Kari,0,0,"$$ - $$$, Wine Bar",41.706589,44.801479
Saina Cake,0,0,$,41.725861,44.759541
Bernard Sushi,0,0,"$$ - $$$, Japanese, Beer restaurants",41.691795,44.801136
Sulguni Cafe,0,0,"$, Georgian",41.694328,44.806152
Shandiz Restaurant,0,0,"$, Middle Eastern, Persian",41.695049,44.807247
Don Chicho,0,0,"$, Fast Food, European, Asian",41.724728,44.735104
Hobnob Bar and Restaurant,0,0,"$, American, Georgian",41.705395,44.790298
Han SofrasI,0,0,Turkish,41.680027,44.854122
Cafesito,0,0,"$, European, Georgian",41.701138,44.804558
Chventan,0,0,$,41.695057,44.802544
Celebration Palace of Rituals,0,0,"Japanese, European, Fusion",41.685070,44.827888
Tardis,0,0,"$$ - $$$, American",41.706608,44.789021
Dejavu Club,0,0,"$$ - $$$, European, Georgian",41.707947,44.785725
Cafe Daphna,0,0,"$$ - $$$, Georgian",41.700619,44.796711
Hobnob Bar and Restaurant,0,0,"$, American, Georgian",41.705395,44.790298
Cactus,0,0,"$, European",41.693058,44.804859
Zambara,0,0,"$, Mexican, European",41.700962,44.797638
Funtusha,0,0,"$, Georgian",41.789185,44.812603
