name,stars,review,type,lng,lat
Cafe Plov,5.0,10,"$$ - $$$, Bar, Barbecue, Pub",41.755016,44.777843
Fork Restaurant,5.0,9,"$$ - $$$, Italian, European, Ukrainian",41.723663,44.743595
Tubo Bar,5.0,8,"$, Bar, European",41.698006,44.801498
Il Bacio Italiano Resturant and Bar,5.0,8,"$$ - $$$, Italian, Bar, Pizza",41.697613,44.806347
Vepkhi da Mokme,5.0,8,"$$ - $$$, Georgian",41.738102,44.769615
Goya Gastropub,5.0,8,"$$ - $$$, Italian, Indian, Georgian",41.709549,44.784145
Eno,5.0,8,"$$ - $$$, Grill, Eastern European, Georgian",41.692371,44.802166
Aguna,5.0,8,Georgian,41.705978,44.790527
El Centro,5.0,7,null,41.690712,44.808601
TJ Artroom,5.0,7,"$, European, Georgian",41.697460,44.806412
Wine Library,5.0,7,"$$ - $$$, Bar, European, Contemporary",41.708286,44.757946
Books Cafe,5.0,7,Russian,41.706066,44.803345
Delisio,5.0,7,Georgian,41.696609,44.802231
Ramona Neighborhood Cafe,5.0,7,"$, Cafe",41.691154,44.797153
Hookah Home,5.0,7,"$$ - $$$, Bar, European, Pub",41.703587,44.801998
Cafe OM,5.0,6,"$, Fast Food, Asian, Korean",41.709641,44.764942
kveba,5.0,6,"$$ - $$$, Turkish",41.699600,44.701981
Budweiser Budvar,5.0,6,"$$ - $$$, Georgian",41.711880,44.750595
Namu,5.0,6,"$, Healthy, Georgian, Vegetarian Friendly",41.728615,44.735416
Wine Garage,5.0,6,"$$ - $$$, Georgian",41.701450,44.786373
Puenteseco,5.0,6,"$, Seafood, European, Spanish",41.703411,44.805260
Mensa,5.0,6,"$$ - $$$, Italian, Deli",41.710423,44.757690
Candoo Restaurant,5.0,6,"$, European, Middle Eastern, Persian",41.709457,44.753342
Patiosani Katsis Duqani,5.0,6,"$$ - $$$, Georgian",41.992500,44.751152
Dumplings with Jina,5.0,5,$,41.708450,44.774998
Amici Karaoke Bar,5.0,5,"$, Italian, Mediterranean, European",41.690582,44.808361
Backstage76,5.0,5,"$$ - $$$, Brew Pub, Moroccan, Bar",41.708771,44.753075
Sabatoni,5.0,5,"$$ - $$$, European, Georgian",41.732555,44.838852
Domashnyaya Kukhnya,5.0,5,Georgian,41.699703,44.818104
Dom Kofe Janashia,5.0,5,"$$ - $$$, Cafe",41.705936,44.781464
Taverna Vere,5.0,4,"$$$$, Georgian",41.707108,44.785469
Restaurant Magnolia,5.0,4,Eastern European,41.688210,45.022968
Over Bar,5.0,4,"$, German, European, Asian",41.706295,44.789207
Vitamin Corner,5.0,4,$,41.729572,44.767059
Restaurant Lazati,5.0,4,"$$ - $$$, Diner, Wine Bar, Georgian",41.722057,44.769909
Best View Tbilisi,5.0,4,"$$ - $$$, Georgian, European",41.688519,44.807796
XVII • Seventeen,5.0,4,"$$ - $$$, Italian, European",41.717045,44.785206
Brasserie 47,5.0,4,"$$ - $$$, European, Georgian",41.711887,44.747707
Maestro RestoBar,5.0,4,"$$ - $$$, Russian, Georgian, European",41.701645,44.795765
New York Burger Tbilisi,5.0,4,"$, American",41.718079,44.779053
Istoria,5.0,3,"$$ - $$$, Georgian",41.690048,44.797478
IVY Wine & Tapas Bar,5.0,3,"$, European, Diner, Wine Bar",41.692986,44.803299
Oishi Sushi,5.0,3,"$, Japanese, Sushi, Asian",41.708729,44.754189
Pitna,5.0,3,"$$ - $$$, Georgian",41.691254,44.798454
Khvanchkara Winery,5.0,3,"$$ - $$$, Wine Bar, Georgian",41.689999,44.808331
Haldi.co Coffee or Tea,5.0,3,"$, South American, Colombian",41.692978,44.799160
Savoy,5.0,3,"$$$$, European",41.698647,44.805176
Atoneli,5.0,3,"$, Bar, Pub",41.690968,44.799786
Deutsches Bierhaus,5.0,3,"$$ - $$$, Italian, Barbecue, European",41.719078,44.776436
Central Perk Tbilisi,5.0,3,"$, European",41.724670,44.729202
